objectid,state,admin1_pcode,dt,dt_pcode,township,admin3_pcode,self_admin,st_rg,p_code_v,floodyears,no_of_flo,storm_surg,year_2008_storm_surge,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,flood_prob,flood_count
310,Rakhine,MMR012,Mrauk-U,MMR012D005,Mrauk-U,MMR012003,NA,State,9.3,"2011,2015,2019",3,NA,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.2,3
281,Mon,MMR011,Mawlamyine,MMR011D001,Mudon,MMR011005,NA,State,9.3,"2012,2019,2020",3,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.2,3
290,Rakhine,MMR012,Kyaukpyu,MMR012D003,Munaung,MMR012012,NA,State,9.3,"2010,2015",2,2010,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2,3
248,Shan (North),MMR015,Muse,MMR015D002,Muse,MMR015009,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
50,Magway,MMR009,Pakokku,MMR009D004,Myaing,MMR009020,NA,Region,9.3,"2011,2015",2,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.13333333333333333,2
185,Ayeyarwady,MMR017,Hinthada,MMR017D002,Myanaung,MMR017011,NA,Region,9.3,"2015,2016,2017,2018,2021",5,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0.3333333333333333,5
209,Sagaing,MMR005,Sagaing,MMR005D001,Myaung,MMR005003,NA,Region,9.3,"2015,2016,2017,2021",4,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.26666666666666666,4
3,Ayeyarwady,MMR017,Myaungmya,MMR017D003,Myaungmya,MMR017014,NA,Region,9.3,"2015,2019",2,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.13333333333333333,2
255,Kayin,MMR003,Myawaddy,MMR003D002,Myawaddy,MMR003005,NA,State,9.3,"2015,2016,2017,2018,2019,2021",6,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.4,6
293,Rakhine,MMR012,Mrauk-U,MMR012D005,Myebon,MMR012006,NA,State,9.3,"2010,2011,2015",3,2010,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.26666666666666666,4
319,Tanintharyi,MMR006,Myeik,MMR006D002,Myeik,MMR006005,NA,Region,9.3,"2018,2019",2,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.13333333333333333,2
47,Mandalay,MMR010,Myingyan,MMR010D004,Myingyan,MMR010017,NA,Region,9.3,"2015,2016,2019,2020,2021",5,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0.3333333333333333,5
259,Sagaing,MMR005,Sagaing,MMR005D001,Myinmu,MMR005002,NA,Region,9.3,"2015,2016,2017,2021",4,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.26666666666666666,4
133,Kachin,MMR001,Myitkyina,MMR001D001,Myitkyina,MMR001001,NA,State,9.3,"2015,2016,2017,2019,2020",5,NA,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.3333333333333333,5
34,Magway,MMR009,Magway,MMR009D001,Myothit,MMR009005,NA,Region,9.3,"2015,2020",2,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.13333333333333333,2
248,Shan (North),MMR015,Muse,MMR015D002,Namhkan,MMR015010,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
65,Shan (North),MMR015,Pa Laung Self-Administered Zone,MMR015S001,Namhsan,MMR015016,Pa Laung,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
